"Filename","LineNumber","Line"
"agent.py","61","        # API boundary: SB3 requires float-like numeric arrays."
"agent.py","63","            [float(value) for value in observation], deterministic=deterministic"
"agent.py","73","        # API boundary: SB3 float arrays + policy distribution."
"agent.py","74","        obs_float = [float(value) for value in observation]"
"agent.py","102","    obs_float: list[float],"
"agent.py","107","        import numpy as np  # noqa: I001  # float API boundary"
"agent.py","123","        # float required: torch tensor ??? float ??? Decimal"
"agent.py","124","        prob = float(probs_attr[0][action].item())"
"AGENTS.md","63","| Decimal-only finance | No float in financial paths. |"
"AGENTS.md","81","| **G7** No float | `grep -r ""float"" src/iatb/finance/` | 0 float in financial paths |"
"AGENTS.md","189","| G7 | Float check in financial paths | ?/? | ... |"
"AGENTS.md","210","# G7: No float in financial paths"
"AGENTS.md","352","G7: No float in financial paths"
"breakout_scanner.py","132","        details = f""Score {float(score):.2f} >= {float(healthy_threshold):.2f} threshold"""
"breakout_scanner.py","135","        details = f""Score {float(score):.2f} <= {float(unhealthy_threshold):.2f} threshold"""
"breakout_scanner.py","138","        details = f""Score {float(score):.2f} in neutral range"""
"ccxt_provider.py","69","    if isinstance(value, float):"
"charts.py","70","    figure.add_trace(go.Scatter(y=[float(value) for value in values], name=name))"
"charts.py","85","def _as_float(value: object, field_name: str) -> float:"
"charts.py","86","    return float(_as_decimal(value, field_name))"
"dashboard.py","111","                ""Safe Exit Prob"": f""{float(inst.safe_exit_probability):.2%}"","
"dashboard.py","182","            open=[float(row.get(""open"", 0)) for row in ohlcv_rows],  # type: ignore[arg-type]"
"dashboard.py","183","            high=[float(row.get(""high"", 0)) for row in ohlcv_rows],  # type: ignore[arg-type]"
"dashboard.py","184","            low=[float(row.get(""low"", 0)) for row in ohlcv_rows],  # type: ignore[arg-type]"
"dashboard.py","185","            close=[float(row.get(""close"", 0)) for row in ohlcv_rows],  # type: ignore[arg-type]"
"dashboard.py","207","        float(inst.sentiment_health.score),"
"dashboard.py","208","        float(inst.market_strength_health.score),"
"dashboard.py","209","        float(inst.volume_analysis_health.score),"
"dashboard.py","210","        float(inst.drl_backtest_health.score),"
"dashboard.py","211","        float(inst.safe_exit_probability),"
"decay.py","42","    raw = Decimal(str(math.exp(float(clamped))))  # float required: math.exp API"
"deploy_risk_reward_fix.ps1","107","# Step 6: Check for float in financial paths (G7)"
"deploy_risk_reward_fix.ps1","108","Write-Step ""6"" ""Check for Float in Financial Paths (G7)"""
